artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_NA,mode_Major,mode_Minor,new_releases_2010,all_playlists,log_in_spotify_playlists,log_in_apple_playlists,log_in_deezer_playlists,log_all_playlists,log_speechiness_%,log_danceability_%
2,2023,7,14,553,147,141381703.0,43,263,45,10,826,125,80,89,83,31,0,8,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,641,6.317164686747284,3.784189633918261,3.828641396489095,6.464588303689961,1.6094379124341003,4.394449154672439
1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,92,71,61,74,7,0,10,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1580,7.29641326877392,3.8918202981106265,4.07753744390572,7.365812837209472,1.6094379124341003,4.276666119016055
1,2023,6,30,1397,113,140003974.0,94,207,91,14,949,138,51,32,53,17,0,31,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1582,7.242797922793756,4.553876891600541,4.5217885770490405,7.367077059881012,1.9459101490553132,3.9512437185814275
1,2019,8,23,7858,100,800840817.0,116,207,125,12,548,170,55,58,72,11,0,11,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8099,8.969414650866176,4.762173934797756,4.836281906951478,8.99961934066053,2.772588722239781,4.02535169073515
1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,144,65,23,80,14,63,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3304,8.050065422915965,4.442651256490317,4.477336814478207,8.103191752285786,1.9459101490553132,4.189654742026425
2,2023,6,1,2186,91,183706234.0,67,213,88,17,946,141,92,66,58,19,0,8,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2341,7.690286020676768,4.219507705176107,4.48863636973214,7.758760544157663,3.2188758248682006,4.532599493153256
2,2023,3,16,3090,50,725980112.0,34,222,43,13,418,148,67,83,76,48,0,8,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3167,8.036249942132116,3.5553480614894135,3.784189633918261,8.060855752934316,1.3862943611198906,4.219507705176107
1,2023,7,7,714,43,58149378.0,25,89,30,13,194,100,67,26,71,37,0,11,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,769,6.5722825426940075,3.258096538021482,3.4339872044851463,6.646390514847729,1.6094379124341003,4.219507705176107
1,2023,5,15,1096,83,95217315.0,60,210,48,11,953,130,85,22,62,12,0,28,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1204,7.00033446027523,4.110873864173311,3.8918202981106265,7.094234845924755,2.302585092994046,4.454347296253507
2,2023,3,17,2953,44,553634067.0,49,110,66,13,339,170,81,56,48,21,0,8,33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3068,7.9909154630913255,3.912023005428146,4.204692619390966,8.029107054619736,3.5263605246161616,4.406719247264253
2,2023,4,17,2876,40,505671438.0,41,205,54,12,251,83,57,56,72,23,0,27,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2971,7.964503363551548,3.7376696182833684,4.007333185232471,7.99699040583765,1.791759469228055,4.060443010546419
1,2023,7,7,422,55,58255150.0,37,202,21,5,168,150,78,52,82,18,0,15,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,480,6.0473721790462776,3.6375861597263857,3.091042453358316,6.175867270105761,2.0794415416798357,4.3694478524670215
1,2023,1,12,12211,115,1316855716.0,300,215,745,58,1021,118,71,65,68,6,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,13256,9.410174353854769,5.707110264748875,6.61472560020376,9.49228099379885,2.0794415416798357,4.276666119016055
1,2023,4,14,3528,98,387570742.0,80,156,182,24,1281,130,51,32,43,83,0,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3790,8.16876982367527,4.394449154672439,5.209486152841421,8.240385115516334,1.3862943611198906,3.9512437185814275
1,2022,3,31,23575,130,2513188493.0,403,198,863,46,0,174,52,66,73,34,0,31,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,24841,10.06798452441753,6.0014148779611505,6.761572768804055,10.12029104810414,1.9459101490553132,3.970291913552122
